                                                                                               List of relations
   Schema   |                Name                 |   Type   |  Owner   | Persistence | Access method |    Size    |                                        Description                                        
------------+-------------------------------------+----------+----------+-------------+---------------+------------+-------------------------------------------------------------------------------------------
 extensions | pg_stat_statements                  | view     | postgres | permanent   |               | 0 bytes    | 
 extensions | pg_stat_statements_info             | view     | postgres | permanent   |               | 0 bytes    | 
 public     | admin_dashboard                     | view     | postgres | permanent   |               | 0 bytes    | 
 public     | ai_analytics                        | table    | postgres | permanent   | heap          | 16 kB      | 
 public     | ai_assessment_context               | table    | postgres | permanent   | heap          | 8192 bytes | AI context and adaptive features for assessments
 public     | ai_log                              | table    | postgres | permanent   | heap          | 96 kB      | 
 public     | ai_readiness_assessment             | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | assessment_analytics                | table    | postgres | permanent   | heap          | 8192 bytes | Analytics and insights for assessment sessions
 public     | assessment_assignments              | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | assessment_delegations              | table    | postgres | permanent   | heap          | 8192 bytes | Team collaboration and assessment delegation
 public     | assessment_insights                 | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | assessment_invitations              | table    | postgres | permanent   | heap          | 16 kB      | Stores assessment invitations sent by business owners to team members
 public     | assessment_scoring_results          | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | assessment_sessions                 | table    | postgres | permanent   | heap          | 8192 bytes | Enhanced assessment sessions with AI-powered features
 public     | assessment_templates                | table    | postgres | permanent   | heap          | 16 kB      | Assessment templates with scoring algorithms
 public     | audit_log                           | table    | postgres | permanent   | heap          | 56 kB      | 
 public     | audit_log_id_seq                    | sequence | postgres | permanent   |               | 8192 bytes | 
 public     | bpm_assessment                      | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | business_news_ticker                | table    | postgres | permanent   | heap          | 48 kB      | Stores business news headlines for the news ticker component
 public     | business_reassessment               | table    | postgres | permanent   | heap          | 8192 bytes | This is a duplicate of onboarding_assessments
 public     | competitive_benchmarking_assessment | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | customer_experience_assessment      | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | dashboard_analytics                 | table    | postgres | permanent   | heap          | 8192 bytes | Analytics tracking for dashboard usage and user behavior
 public     | dashboard_benchmarks                | table    | postgres | permanent   | heap          | 0 bytes    | Benchmark data for user comparison with industry and top performers
 public     | dashboard_configs                   | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | dashboard_events                    | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | dashboard_layouts                   | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | dashboard_trends                    | table    | postgres | permanent   | heap          | 0 bytes    | Trend tracking for dashboard analytics and performance monitoring
 public     | dashboard_widget_data               | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | digital_transformation_assessment   | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | email_subscription_analytics        | view     | postgres | permanent   |               | 0 bytes    | 
 public     | email_subscriptions                 | table    | postgres | permanent   | heap          | 8192 bytes | Stores email newsletter subscriptions for "Stay Ahead of the Curve"
 public     | email_subscriptions_id_seq          | sequence | postgres | permanent   |               | 8192 bytes | 
 public     | enhanced_market_insights            | table    | postgres | permanent   | heap          | 72 kB      | 
 public     | enterprise_orgs                     | table    | postgres | permanent   | heap          | 8192 bytes | 
 public     | events                              | table    | postgres | permanent   | heap          | 16 kB      | 
 public     | growth_assessment                   | table    | postgres | permanent   | heap          | 16 kB      | User-specific growth assessment data with RLS enabled
